Glyph,Name ,Character(s) 
𝔾,Gopf; ,U+1D53E 
𝕘,gopf; ,U+1D558 
`,grave; ,U+00060 
≥,GreaterEqual; ,U+02265 
⋛,GreaterEqualLess; ,U+022DB 
≧,GreaterFullEqual; ,U+02267 
⪢,GreaterGreater; ,U+02AA2 
≷,GreaterLess; ,U+02277 
⩾,GreaterSlantEqual; ,U+02A7E 
≳,GreaterTilde; ,U+02273 
𝒢,Gscr; ,U+1D4A2 
ℊ,gscr; ,U+0210A 
≳,gsim; ,U+02273 
⪎,gsime; ,U+02A8E 
⪐,gsiml; ,U+02A90 
>,GT; ,U+0003E 
>,GT ,U+0003E 
≫,Gt; ,U+0226B 
>,gt; ,U+0003E 
>,gt ,U+0003E 
⪧,gtcc; ,U+02AA7 
⩺,gtcir; ,U+02A7A 
⋗,gtdot; ,U+022D7 
⦕,gtlPar; ,U+02995 
⩼,gtquest; ,U+02A7C 
⪆,gtrapprox; ,U+02A86 
⥸,gtrarr; ,U+02978 
⋗,gtrdot; ,U+022D7 
⋛,gtreqless; ,U+022DB 
⪌,gtreqqless; ,U+02A8C 
≷,gtrless; ,U+02277 
≳,gtrsim; ,U+02273 
≩︀,gvertneqq; ,U+02269 U+0FE00 
≩︀,gvnE; ,U+02269 U+0FE00 
ˇ,Hacek; ,U+002C7 
 ,hairsp; ,U+0200A 
½,half; ,U+000BD 
ℋ,hamilt; ,U+0210B 
Ъ,HARDcy; ,U+0042A 
ъ,hardcy; ,U+0044A 
⇔,hArr; ,U+021D4 
↔,harr; ,U+02194 
⥈,harrcir; ,U+02948 
↭,harrw; ,U+021AD 
^,Hat; ,U+0005E 
ℏ,hbar; ,U+0210F 
Ĥ,Hcirc; ,U+00124 
ĥ,hcirc; ,U+00125 
♥,hearts; ,U+02665 
♥,heartsuit; ,U+02665 
…,hellip; ,U+02026 
⊹,hercon; ,U+022B9 
ℌ,Hfr; ,U+0210C 
𝔥,hfr; ,U+1D525 
ℋ,HilbertSpace; ,U+0210B 
